name_slug,search_text,character,rarity,sort_rarity,image,name,description_title,description,id,source,source_url,fetched_at_utc,image_url
empty cage,"upon pickup, remove 2 cards from your deck.",Colorless,Ancient,4,/media/relics/empty_cage.png,Empty Cage,"Upon pickup, remove 2 cards from your Deck.","Upon pickup, remove 2 cards from your Deck.",72-empty-cage,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/empty_cage.png
eternal feather,"for every 5 cards in your deck, heal 3 hp whenever you enter a rest site.",Colorless,Uncommon,2,/media/relics/eternal_feather.png,Eternal Feather,"For every 5 cards in your Deck, heal 3 HP whenever you enter a Rest Site.","For every 5 cards in your Deck, heal 3 HP whenever you enter a Rest Site.",73-eternal-feather,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/eternal_feather.png
fencing manual,"at the start of each combat, forge 10.",Regent,Common,1,/media/relics/fencing_manual.png,Fencing Manual,"At the start of each combat, Forge 10.","At the start of each combat, Forge 10.",74-fencing-manual,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/fencing_manual.png
festive popper,"at the start of each combat, deal 9 damage to all enemies.",Colorless,Common,1,/media/relics/festive_popper.png,Festive Popper,"At the start of each combat, deal 9 damage to ALL enemies.","At the start of each combat, deal 9 damage to ALL enemies.",75-festive-popper,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/festive_popper.png
fiddle,"at the start of each turn, draw 2 additional cards. you may not draw cards during your turn.",Colorless,Ancient,4,/media/relics/fiddle.png,Fiddle,"At the start of each turn, draw 2 additional cards. You may not draw cards during your turn.","At the start of each turn, draw 2 additional cards. You may not draw cards during your turn.",76-fiddle,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/fiddle.png
forgotten soul,"whenever you exhaust a card, deal 1 damage to a random enemy.",Colorless,Event,6,/media/relics/forgotten_soul.webp,Forgotten Soul,"Whenever you Exhaust a card, deal 1 damage to a random enemy.","Whenever you Exhaust a card, deal 1 damage to a random enemy.",77-forgotten-soul,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/forgotten_soul.webp
fragrant mushroom,"upon pickup, lose 15 hp and upgrade 3 random cards.",Colorless,Event,6,/media/relics/fragrant_mushroom.webp,Fragrant Mushroom,"Upon pickup, lose 15 HP and Upgrade 3 random cards.","Upon pickup, lose 15 HP and Upgrade 3 random cards.",78-fragrant-mushroom,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/fragrant_mushroom.webp
fresnel lens,"whenever you add a card that gains block to your deck, enchant it with nimble 2.",Colorless,Event,6,/media/relics/fresnel_lens.webp,Fresnel Lens,"Whenever you add a card that gains Block to your Deck, Enchant it with Nimble 2.","Whenever you add a card that gains Block to your Deck, Enchant it with Nimble 2.",79-fresnel-lens,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/fresnel_lens.webp
frozen egg,"whenever you add a power into your deck, upgrade it.",Colorless,Rare,3,/media/relics/frozen_egg.png,Frozen Egg,"Whenever you add a Power into your Deck, Upgrade it.","Whenever you add a Power into your Deck, Upgrade it.",80-frozen-egg,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/frozen_egg.png
funerary mask,"at the start of each combat, add 3 souls into your draw pile.",Necrobinder,Uncommon,2,/media/relics/funerary_mask.png,Funerary Mask,"At the start of each combat, add 3 Souls into your Draw Pile.","At the start of each combat, add 3 Souls into your Draw Pile.",81-funerary-mask,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/funerary_mask.png
fur coat,"upon pickup, mark 7 random combats. enemies in those rooms have 1 hp.",Colorless,Ancient,4,/media/relics/fur_coat.png,Fur Coat,"Upon pickup, mark 7 random combats. Enemies in those rooms have 1 HP.","Upon pickup, mark 7 random combats. Enemies in those rooms have 1 HP.",82-fur-coat,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/fur_coat.png
galactic dust,"for every 10 regent star energy spent, gain 10 block.",Regent,Uncommon,2,/media/relics/galactic_dust.png,Galactic Dust,"For every 10 Regent Star Energy spent, gain 10 Block.","For every 10 Regent Star Energy spent, gain 10 Block.",83-galactic-dust,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/galactic_dust.png
gambling chip,"at the start of each combat, discard any number of cards then draw that many.",Colorless,Rare,3,/media/relics/gambling_chip.png,Gambling Chip,"At the start of each combat, discard any number of cards then draw that many.","At the start of each combat, discard any number of cards then draw that many.",84-gambling-chip,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/gambling_chip.png
game piece,"whenever you play a power, draw 1 card.",Colorless,Rare,3,/media/relics/game_piece.png,Game Piece,"Whenever you play a Power, draw 1 card.","Whenever you play a Power, draw 1 card.",85-game-piece,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/game_piece.png
ghost seed,strikes and defends gain ethereal.,Colorless,Shop,5,/media/relics/ghost_seed.png,Ghost Seed,Strikes and Defends gain Ethereal.,Strikes and Defends gain Ethereal.,86-ghost-seed,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ghost_seed.png
girya,you can now gain strength at rest sites.,Colorless,Rare,3,/media/relics/girya.png,Girya,You can now gain Strength at Rest Sites.,You can now gain Strength at Rest Sites.,87-girya,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/girya.png
glass eye,"upon pickup, obtain 2 common cards, 2 uncommon cards, and 1 rare card.",Colorless,Ancient,4,/media/relics/glass_eye.png,Glass Eye,"Upon pickup, obtain 2 Common cards, 2 Uncommon cards, and 1 Rare card.","Upon pickup, obtain 2 Common cards, 2 Uncommon cards, and 1 Rare card.",88-glass-eye,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/glass_eye.png
glitter,enchant all card rewards with glam.,Colorless,Ancient,4,/media/relics/glitter.png,Glitter,Enchant all card rewards with Glam.,Enchant all card rewards with Glam.,89-glitter,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/glitter.png
gnarled hammer,"upon pickup, enchant up to 3 attacks with sharp 3.",Colorless,Shop,5,/media/relics/gnarled_hammer.png,Gnarled Hammer,"Upon pickup, Enchant up to 3 Attacks with Sharp 3.","Upon pickup, Enchant up to 3 Attacks with Sharp 3.",90-gnarled-hammer,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/gnarled_hammer.png
gold-plated cables,your rightmost orb triggers its passive an additional time.,Defect,Uncommon,2,/media/relics/gold_plated_cables.png,Gold-Plated Cables,Your rightmost Orb triggers its passive an additional time.,Your rightmost Orb triggers its passive an additional time.,91-gold-plated-cables,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/gold_plated_cables.png
golden compass,"upon pickup, replace the act 2 map with a single special path.",Colorless,Ancient,4,/media/relics/golden_compass.png,Golden Compass,"Upon pickup, replace the Act 2 Map with a single special path.","Upon pickup, replace the Act 2 Map with a single special path.",92-golden-compass,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/golden_compass.png
golden pearl,"upon pickup, gain 150 gold.",Colorless,Ancient,4,/media/relics/golden_pearl.png,Golden Pearl,"Upon pickup, gain 150 Gold.","Upon pickup, gain 150 Gold.",93-golden-pearl,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/golden_pearl.png
gorget,"at the start of each combat, gain 4 plating.",Colorless,Common,1,/media/relics/gorget.png,Gorget,"At the start of each combat, gain 4 Plating.","At the start of each combat, gain 4 Plating.",94-gorget,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/gorget.png
gremlin horn,"whenever an enemy dies, gain colorless energy and draw 1 card.",Colorless,Uncommon,2,/media/relics/gremlin_horn.png,Gremlin Horn,"Whenever an enemy dies, gain Colorless Energy and draw 1 card.","Whenever an enemy dies, gain Colorless Energy and draw 1 card.",95-gremlin-horn,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/gremlin_horn.png
hand drill,"whenever you break an enemy's block, apply 2 vulnerable.",Colorless,Event,6,/media/relics/hand_drill.webp,Hand Drill,"Whenever you break an enemy's Block, apply 2 Vulnerable.","Whenever you break an enemy's Block, apply 2 Vulnerable.",96-hand-drill,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/hand_drill.webp
happy flower,"every 3 turns, gain colorless energy.",Colorless,Common,1,/media/relics/happy_flower.png,Happy Flower,"Every 3 turns, gain Colorless Energy.","Every 3 turns, gain Colorless Energy.",97-happy-flower,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/happy_flower.png
helical dart,"whenever you play a shiv, gain 1 dexterity this turn.",Silent,Rare,3,/media/relics/helical_dart.png,Helical Dart,"Whenever you play a Shiv, gain 1 Dexterity this turn.","Whenever you play a Shiv, gain 1 Dexterity this turn.",98-helical-dart,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/helical_dart.png
history course,"at the start of your turn, play a copy of your last played attack or skill.",Colorless,Event,6,/media/relics/history_course.webp,History Course,"At the start of your turn, play a copy of your last played Attack or Skill.","At the start of your turn, play a copy of your last played Attack or Skill.",99-history-course,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/history_course.webp
horn cleat,"at the start of your 2nd turn, gain 14 block.",Colorless,Uncommon,2,/media/relics/horn_cleat.png,Horn Cleat,"At the start of your 2nd turn, gain 14 Block.","At the start of your 2nd turn, gain 14 Block.",100-horn-cleat,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/horn_cleat.png
ice cream,energy is now conserved between turns.,Colorless,Rare,3,/media/relics/ice_cream.png,Ice Cream,Energy is now conserved between turns.,Energy is now conserved between turns.,101-ice-cream,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ice_cream.png
infused core,"at the start of each combat, channel 3 lightning.",Defect,Starter,0,/media/relics/infused_core.png,Infused Core,"At the start of each combat, Channel 3 Lightning.","At the start of each combat, Channel 3 Lightning.",102-infused-core,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/infused_core.png
ink bottle,"every time you play a certain number of cards, draw cards.",Colorless,Uncommon,2,/media/relics/ink_bottle.webp,Ink Bottle,"Every time you play a certain number of cards, draw cards.","Every time you play a certain number of cards, draw cards.",103-ink-bottle,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ink_bottle.webp
intimidating helmet,"whenever you play a card that costs 2 energy or more, gain 4 block.",Colorless,Rare,3,/media/relics/intimidating_helmet.png,Intimidating Helmet,"Whenever you play a card that costs 2 Energy or more, gain 4 Block.","Whenever you play a card that costs 2 Energy or more, gain 4 Block.",104-intimidating-helmet,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/intimidating_helmet.png
iron club,"every 4 cards you play, draw 1 card.",Colorless,Ancient,4,/media/relics/iron_club.png,Iron Club,"Every 4 cards you play, draw 1 card.","Every 4 cards you play, draw 1 card.",105-iron-club,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/iron_club.png
ivory tile,"whenever you play a card that costs 3 necrobinder energy or more, gain necrobinder energy.",Necrobinder,Rare,3,/media/relics/ivory_tile.png,Ivory Tile,"Whenever you play a card that costs 3 Necrobinder Energy or more, gain Necrobinder Energy.","Whenever you play a card that costs 3 Necrobinder Energy or more, gain Necrobinder Energy.",106-ivory-tile,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ivory_tile.png
jeweled mask,"at the start of combat put a random power from your draw pile into your hand, it's free to play.",Colorless,Ancient,4,/media/relics/jeweled_mask.png,Jeweled Mask,"At the start of combat put a random Power from your Draw Pile into your Hand, it's free to play.","At the start of combat put a random Power from your Draw Pile into your Hand, it's free to play.",107-jeweled-mask,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/jeweled_mask.png
jewelry box,"upon pickup, add 1 apotheosis to your deck.",Colorless,Ancient,4,/media/relics/jewelry_box.png,Jewelry Box,"Upon pickup, add 1 Apotheosis to your Deck.","Upon pickup, add 1 Apotheosis to your Deck.",108-jewelry-box,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/jewelry_box.png
joss paper,"every 5 times you exhaust a card, draw 1 card.",Colorless,Uncommon,2,/media/relics/joss_paper.png,Joss Paper,"Every 5 times you Exhaust a card, draw 1 card.","Every 5 times you Exhaust a card, draw 1 card.",109-joss-paper,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/joss_paper.png
juzu bracelet,regular enemy combats are no longer encountered in ? rooms.,Colorless,Common,1,/media/relics/juzu_bracelet.png,Juzu Bracelet,Regular enemy combats are no longer encountered in ? rooms.,Regular enemy combats are no longer encountered in ? rooms.,110-juzu-bracelet,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/juzu_bracelet.png
kifuda,"upon pickup, enchant up to 3 cards with adroit.",Colorless,Shop,5,/media/relics/kifuda.png,Kifuda,"Upon pickup, Enchant up to 3 cards with Adroit.","Upon pickup, Enchant up to 3 cards with Adroit.",111-kifuda,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/kifuda.png
kunai,"every time you play 3 attacks in a single turn, gain 1 dexterity.",Colorless,Rare,3,/media/relics/kunai.png,Kunai,"Every time you play 3 Attacks in a single turn, gain 1 Dexterity.","Every time you play 3 Attacks in a single turn, gain 1 Dexterity.",112-kunai,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/kunai.png
kusarigama,"every time you play 3 attacks in a single turn, deal 6 damage to a random enemy.",Colorless,Uncommon,2,/media/relics/kusarigama.png,Kusarigama,"Every time you play 3 Attacks in a single turn, deal 6 damage to a random enemy.","Every time you play 3 Attacks in a single turn, deal 6 damage to a random enemy.",113-kusarigama,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/kusarigama.png
lantern,start each combat with an additional colorless energy.,Colorless,Common,1,/media/relics/lantern.png,Lantern,Start each combat with an additional Colorless Energy.,Start each combat with an additional Colorless Energy.,114-lantern,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lantern.png
large capsule,"upon pickup, obtain 2 random relics. add an additional strike and defend to your deck.",Colorless,Ancient,4,/media/relics/large_capsule.png,Large Capsule,"Upon pickup, obtain 2 random Relics. Add an additional Strike and Defend to your Deck.","Upon pickup, obtain 2 random Relics. Add an additional Strike and Defend to your Deck.",115-large-capsule,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/large_capsule.png
lasting candy,"every other combat, your card rewards gain an additional power.",Colorless,Rare,3,/media/relics/lasting_candy.png,Lasting Candy,"Every other combat, your card rewards gain an additional Power.","Every other combat, your card rewards gain an additional Power.",116-lasting-candy,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lasting_candy.png
lava lamp,"at the end of combat, upgrade all card rewards if you took no damage.",Colorless,Shop,5,/media/relics/lava_lamp.png,Lava Lamp,"At the end of combat, Upgrade all card rewards if you took no damage.","At the end of combat, Upgrade all card rewards if you took no damage.",117-lava-lamp,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lava_lamp.png
lava rock,the act 1 boss drops 2 relics.,Colorless,Ancient,4,/media/relics/lava_rock.png,Lava Rock,The Act 1 Boss drops 2 Relics.,The Act 1 Boss drops 2 Relics.,118-lava-rock,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lava_rock.png
lead paperweight,"upon pickup, choose 1 of 2 colorless cards to add to your deck.",Colorless,Ancient,4,/media/relics/lead_paperweight.png,Lead Paperweight,"Upon pickup, choose 1 of 2 Colorless cards to add to your Deck.","Upon pickup, choose 1 of 2 Colorless cards to add to your Deck.",119-lead-paperweight,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lead_paperweight.png
leafy poultice,"upon pickup, transform 1 of your strikes and 1 of your defends and lose 10 max hp.",Colorless,Ancient,4,/media/relics/leafy_poultice.png,Leafy Poultice,"Upon pickup, Transform 1 of your Strikes and 1 of your Defends and lose 10 Max HP.","Upon pickup, Transform 1 of your Strikes and 1 of your Defends and lose 10 Max HP.",120-leafy-poultice,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/leafy_poultice.png
lee's waffle,"upon pickup, raise your max hp by 7 and heal all of your hp.",Colorless,Shop,5,/media/relics/lee_s_waffle.png,Lee's Waffle,"Upon pickup, raise your Max HP by 7 and heal all of your HP.","Upon pickup, raise your Max HP by 7 and heal all of your HP.",121-lee's-waffle,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lee_s_waffle.png
letter opener,"every time you play 3 skills in a single turn, deal 5 damage to all enemies.",Colorless,Uncommon,2,/media/relics/letter_opener.png,Letter Opener,"Every time you play 3 Skills in a single turn, deal 5 damage to ALL enemies.","Every time you play 3 Skills in a single turn, deal 5 damage to ALL enemies.",122-letter-opener,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/letter_opener.png
lizard tail,"when you would die, heal to 50% of your max hp instead.",Colorless,Rare,3,/media/relics/lizard_tail.png,Lizard Tail,"When you would die, heal to 50% of your Max HP instead.","When you would die, heal to 50% of your Max HP instead.",123-lizard-tail,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lizard_tail.png
looming fruit,"upon pickup, raise your max hp by 31.",Colorless,Ancient,4,/media/relics/looming_fruit.png,Looming Fruit,"Upon pickup, raise your Max HP by 31.","Upon pickup, raise your Max HP by 31.",124-looming-fruit,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/looming_fruit.png
lord's parasol,"when you encounter the merchant, immediately obtain everything he sells.",Colorless,Ancient,4,/media/relics/lord_s_parasol.png,Lord's Parasol,"When you encounter the Merchant, immediately obtain EVERYTHING he sells.","When you encounter the Merchant, immediately obtain EVERYTHING he sells.",125-lord's-parasol,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lord_s_parasol.png
lost coffer,"upon pickup, gain 1 card reward and procure 1 random potion.",Colorless,Ancient,4,/media/relics/lost_coffer.png,Lost Coffer,"Upon pickup, gain 1 card reward and procure 1 random potion.","Upon pickup, gain 1 card reward and procure 1 random potion.",126-lost-coffer,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lost_coffer.png
lost wisp,"whenever you play a power, deal 8 damage to all enemies.",Colorless,Event,6,/media/relics/lost_wisp.webp,Lost Wisp,"Whenever you play a Power, deal 8 damage to ALL enemies.","Whenever you play a Power, deal 8 damage to ALL enemies.",127-lost-wisp,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lost_wisp.webp
lucky fysh,"whenever you add a card to your deck, gain 15 gold.",Colorless,Uncommon,2,/media/relics/lucky_fysh.png,Lucky Fysh,"Whenever you add a card to your Deck, gain 15 Gold.","Whenever you add a card to your Deck, gain 15 Gold.",128-lucky-fysh,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lucky_fysh.png
lunar pastry,"at the end of your turn, gain regent star energy.",Regent,Rare,3,/media/relics/lunar_pastry.png,Lunar Pastry,"At the end of your turn, gain Regent Star Energy.","At the end of your turn, gain Regent Star Energy.",129-lunar-pastry,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/lunar_pastry.png
mango,"upon pickup, raise your max hp by 14.",Colorless,Rare,3,/media/relics/mango.png,Mango,"Upon pickup, raise your Max HP by 14.","Upon pickup, raise your Max HP by 14.",130-mango,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/mango.png
massive scroll,"upon pickup, choose 1 of 3 multiplayer colorless cards to add to your deck.",Colorless,Ancient,4,/media/relics/massive_scroll.png,Massive Scroll,"Upon pickup, choose 1 of 3 Multiplayer Colorless Cards to add to your Deck.","Upon pickup, choose 1 of 3 Multiplayer Colorless Cards to add to your Deck.",131-massive-scroll,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/massive_scroll.png
maw bank,"whenever you climb a floor, gain 12 gold. no longer works when you spend any gold at the shop.",Colorless,Event,6,/media/relics/maw_bank.webp,Maw Bank,"Whenever you climb a floor, gain 12 Gold. No longer works when you spend any Gold at the shop.","Whenever you climb a floor, gain 12 Gold. No longer works when you spend any Gold at the shop.",132-maw-bank,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/maw_bank.webp
meal ticket,"whenever you enter a shop room, heal 15 hp.",Colorless,Common,1,/media/relics/meal_ticket.png,Meal Ticket,"Whenever you enter a shop room, heal 15 HP.","Whenever you enter a shop room, heal 15 HP.",133-meal-ticket,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/meal_ticket.png
meat cleaver,you may cook at rest sites.,Colorless,Ancient,4,/media/relics/meat_cleaver.png,Meat Cleaver,You may Cook at Rest Sites.,You may Cook at Rest Sites.,134-meat-cleaver,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/meat_cleaver.png
meat on the bone,"if your hp is at or below 50% at the end of combat, heal 12 hp.",Colorless,Rare,3,/media/relics/meat_on_the_bone.png,Meat on the Bone,"If your HP is at or below 50% at the end of combat, heal 12 HP.","If your HP is at or below 50% at the end of combat, heal 12 HP.",135-meat-on-the-bone,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/meat_on_the_bone.png
medical kit,status cards can now be played. playing a status will exhaust the card.,Colorless,Rare,3,/media/relics/medical_kit.webp,Medical Kit,Status cards can now be played. Playing a Status will Exhaust the card.,Status cards can now be played. Playing a Status will Exhaust the card.,136-medical-kit,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/medical_kit.webp
membership card,50% discount on all products!,Colorless,Shop,5,/media/relics/membership_card.png,Membership Card,50% discount on all products!,50% discount on all products!,137-membership-card,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/membership_card.png
mercury hourglass,"at the start of your turn, deal 3 damage to all enemies.",Colorless,Uncommon,2,/media/relics/mercury_hourglass.png,Mercury Hourglass,"At the start of your turn, deal 3 damage to ALL enemies.","At the start of your turn, deal 3 damage to ALL enemies.",138-mercury-hourglass,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/mercury_hourglass.png
metronome,"the first time you channel 7 orbs each combat, deal 30 damage to all enemies.",Defect,Rare,3,/media/relics/metronome.png,Metronome,"The first time you Channel 7 Orbs each combat, deal 30 damage to ALL enemies.","The first time you Channel 7 Orbs each combat, deal 30 damage to ALL enemies.",139-metronome,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/metronome.png
mini regent,"the first time you spend regent star energy each turn, gain 1 strength.",Regent,Rare,3,/media/relics/mini_regent.png,Mini Regent,"The first time you spend Regent Star Energy each turn, gain 1 Strength.","The first time you spend Regent Star Energy each turn, gain 1 Strength.",140-mini-regent,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/mini_regent.png
miniature cannon,upgraded attacks deal 3 additional damage.,Colorless,Uncommon,2,/media/relics/miniature_cannon.png,Miniature Cannon,Upgraded Attacks deal 3 additional damage.,Upgraded Attacks deal 3 additional damage.,141-miniature-cannon,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/miniature_cannon.png
miniature tent,you may choose any number of options at rest sites.,Colorless,Shop,5,/media/relics/miniature_tent.png,Miniature Tent,You may choose any number of options at Rest Sites.,You may choose any number of options at Rest Sites.,142-miniature-tent,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/miniature_tent.png
molten egg,"whenever you add an attack card to your deck, upgrade it.",Colorless,Rare,3,/media/relics/molten_egg.png,Molten Egg,"Whenever you add an Attack card to your Deck, Upgrade it.","Whenever you add an Attack card to your Deck, Upgrade it.",143-molten-egg,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/molten_egg.png
